kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Pusat,assigned,have-not-assigned
9701,1.0,,97,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,1.0,,,,,,,
9471,1.0,,94,SURVEI TAHUNAN PERUSAHAAN LISTRIK TAHUN 2025,2026-03-10 08:26:41,progress,,1.0,,,,,,,
9704,941.0,941.0,97,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9702,642.0,642.0,97,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9501,9017.0,9017.0,95,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9502,3747.0,3747.0,95,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9504,380.0,380.0,95,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9503,312.0,209.0,95,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,103.0,,,,
9604,5920.0,5920.0,96,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9601,3998.0,1944.0,96,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,2054.0,,,,
9608,805.0,805.0,96,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9603,352.0,352.0,96,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9471,7004.0,7004.0,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9420,2203.0,2203.0,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9403,2171.0,2171.0,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9409,1697.0,1697.0,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9427,698.0,698.0,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9419,575.0,575.0,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9426,454.0,454.0,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9408,374.0,374.0,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9428,126.0,126.0,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:42,progress,,,,,,,,,
9408,1.0,,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-03-10 08:26:42,progress,,1.0,,,,,,,
9419,16.0,,94,SURVEI CAPTIVE POWER 2025,2026-03-10 08:26:42,progress,,16.0,,,,,,,
9408,7.0,,94,SURVEI CAPTIVE POWER 2025,2026-03-10 08:26:42,progress,,7.0,,,,,,,
9604,21.0,,96,SURVEI CAPTIVE POWER 2025,2026-03-10 08:26:42,progress,,21.0,,,,,,,
9602,1.0,,96,SURVEI CAPTIVE POWER 2025,2026-03-10 08:26:42,progress,,1.0,,,,,,,
9408,74.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:43,progress,,74.0,,,,,,,
9420,17.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:43,progress,,17.0,,,,,,,
9419,10.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:43,progress,,10.0,,,,,,,
9409,6.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:43,progress,,6.0,,,,,,,
9604,8.0,,96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:43,progress,,8.0,,,,,,,
9704,29.0,,97,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,29.0,,,,,,,
9708,25.0,,97,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,25.0,,,,,,,
9707,17.0,,97,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,17.0,,,,,,,
9703,3.0,,97,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,3.0,,,,,,,
9419,4.0,,94,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,3.0,1.0,,,,,,
9426,3.0,,94,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,3.0,,,,,,,
9403,1.0,,94,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,1.0,,,,,,,
9420,1.0,,94,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,1.0,,,,,,,
9601,166.0,,96,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,161.0,5.0,,,,,,
9604,8.0,,96,Pencacahan SKTH 2024,2026-03-10 08:26:43,progress,,8.0,,,,,,,
9704,8.0,,97,PENCACAHAN SKTR 2025,2026-03-10 08:26:44,progress,,8.0,,,,,,,
9708,7.0,,97,PENCACAHAN SKTR 2025,2026-03-10 08:26:44,progress,,7.0,,,,,,,
9707,1.0,,97,PENCACAHAN SKTR 2025,2026-03-10 08:26:44,progress,,1.0,,,,,,,
