kd_kab,total,SUBMITTED BY Pencacah,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Pengawas,REJECTED BY Pengawas,COMPLETED BY PML,APPROVED BY Admin Kabupaten,assigned,have-not-assigned
9502,300,,,95,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,300.0,,
9601,210,,,96,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,210.0,,
9604,210,,,96,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,210.0,,
9605,210,,,96,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,210.0,,
9608,210,,,96,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,210.0,,
9603,180,,,96,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,180.0,,
9606,180,,,96,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,180.0,,
9602,178,,,96,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,178.0,,
9607,177,,,96,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,177.0,,
9702,210,,,97,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,210.0,,
9703,210,,,97,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,210.0,,
9704,210,,,97,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,210.0,,
9707,206,,,97,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,206.0,,
9701,180,,,97,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,180.0,,
9705,180,,,97,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,180.0,,
9706,180,,,97,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,180.0,,
9708,180,,,97,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:05,progress,,,,180.0,,
4242SOR,870,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:06,user_assignment,,,,,833.0,37.0
4242MNK,796,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:06,user_assignment,,,,,774.0,22.0
4242JYP,292,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:06,user_assignment,,,,,208.0,84.0
4242MRK,174,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:06,user_assignment,,,,,168.0,6.0
4242TMK,127,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:06,user_assignment,,,,,117.0,10.0
4242NBR,69,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:06,user_assignment,,,,,68.0,1.0
4242WMN,65,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:06,user_assignment,,,,,65.0,0.0
