kd_kab,total,OPEN,prov_id,name,time_stamp,type,APPROVED BY ADMIN KABUPATEN,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,DRAFT,SUBMITTED RESPONDENT,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9408,74.0,74.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
9403,59.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,59.0,,,,,,,,,,,,,,,
9420,19.0,17.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,1.0,,,,,,,,1.0,,,,,,,
9428,15.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,15.0,,,,,,,,,,,,,,,
9426,13.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,13.0,,,,,,,,,,,,,,,
9471,11.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,11.0,,,,,,,,,,,,,,,
9419,10.0,10.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
9409,6.0,6.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
9604,8.0,8.0,96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
9601,5.0,,96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,5.0,,,,,,,,,,,,,,,
9408,1.0,1.0,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
9409,1.0,,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-02-23 08:46:26,progress,1.0,,,,,,,,,,,,,,,
9471,1.0,,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-02-23 08:46:26,progress,1.0,,,,,,,,,,,,,,,
9420,2.0,,94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-23 08:46:26,progress,,,,,,,,,,,1.0,1.0,,,,
9426,2.0,,94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-23 08:46:26,progress,,,,,,,,2.0,,,,,,,,
9409,1.0,1.0,94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
