prov_id,name,time_stamp,type,kd_kab,total,COMPLETED BY Admin Kabupaten,APPROVED BY Pengawas,EDITED BY Admin Kabupaten,OPEN,REVOKED BY Admin Kabupaten,REJECTED BY Pengawas,APPROVED BY ADMIN KABUPATEN,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,DRAFT,SUBMITTED RESPONDENT,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9403,5.0,,,,,,,,,,,5.0,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9409,4.0,,,,,,,,,,,4.0,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9408,1.0,,,,,,,,,,,1.0,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9420,1.0,,,,1.0,,,,,,,,,,,,,
96,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9601,6.0,,2.0,,,,,,,,,4.0,,,,,,
96,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9604,3.0,,2.0,,1.0,,,,,,,,,,,,,
96,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR KOMODITAS 2024 (SKIM),2026-02-27 10:20:47,progress,9601,1.0,,,,,,,,,,,1.0,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR KOMODITAS 2024 (SKIM),2026-02-27 10:20:48,progress,9471,1.0,,,,,,,,,,,1.0,,,,,,
94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-27 10:20:47,progress,9420,2.0,,,,,,,,,,,,1.0,1.0,,,,
94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-27 10:20:47,progress,9426,2.0,,,,,,,,2.0,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-27 10:20:47,progress,9409,1.0,,,,1.0,,,,,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-27 10:20:47,progress,9471,1.0,,,,1.0,,,,,,,,,,,,,
97,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9702,74.0,11.0,63.0,,,,,,,,,,,,,,,
97,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9707,30.0,13.0,,,17.0,,,,,,,,,,,,,
97,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9704,29.0,,,,29.0,,,,,,,,,,,,,
97,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9708,25.0,,,,25.0,,,,,,,,,,,,,
97,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9706,8.0,2.0,6.0,,,,,,,,,,,,,,,
97,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9701,7.0,,7.0,,,,,,,,,,,,,,,
97,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9705,4.0,1.0,3.0,,,,,,,,,,,,,,,
97,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9703,3.0,,,,3.0,,,,,,,,,,,,,
94,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9471,118.0,118.0,,,,,,,,,,,,,,,,
94,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9403,47.0,45.0,1.0,,1.0,,,,,,,,,,,,,
94,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9419,24.0,20.0,,,3.0,,,,,,,,,,1.0,,,
94,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9426,24.0,21.0,,,3.0,,,,,,,,,,,,,
94,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9408,20.0,20.0,,,,,,,,,,,,,,,,
94,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9409,20.0,20.0,,,,,,,,,,,,,,,,
94,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9420,18.0,13.0,4.0,,1.0,,,,,,,,,,,,,
94,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9428,9.0,8.0,,,,,1.0,,,,,,,,,,,
94,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9427,5.0,5.0,,,,,,,,,,,,,,,,
96,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9601,244.0,77.0,,,162.0,,,,,,,,,,5.0,,,
96,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9608,20.0,20.0,,,,,,,,,,,,,,,,
