kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
9501,14.0,14.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:29,progress,,,,,,,,
9503,6.0,6.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:29,progress,,,,,,,,
9502,4.0,,2.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:29,progress,2.0,,,,,,,
9601,40.0,40.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:32,progress,,,,,,,,
9604,2.0,2.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:32,progress,,,,,,,,
9608,1.0,1.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:32,progress,,,,,,,,
9702,5.0,4.0,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:29,progress,,,,,1.0,,,
9419,16.0,,16.0,94,SURVEI CAPTIVE POWER 2025,2026-03-10 11:42:32,progress,,,,,,,,
9408,7.0,,7.0,94,SURVEI CAPTIVE POWER 2025,2026-03-10 11:42:32,progress,,,,,,,,
9604,21.0,,21.0,96,SURVEI CAPTIVE POWER 2025,2026-03-10 11:42:32,progress,,,,,,,,
9602,1.0,,1.0,96,SURVEI CAPTIVE POWER 2025,2026-03-10 11:42:32,progress,,,,,,,,
9408,74.0,,74.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 11:42:33,progress,,,,,,,,
9420,17.0,,17.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 11:42:33,progress,,,,,,,,
9419,10.0,,10.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 11:42:33,progress,,,,,,,,
9409,6.0,,6.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 11:42:33,progress,,,,,,,,
9604,8.0,,8.0,96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 11:42:33,progress,,,,,,,,
9408,1.0,,1.0,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-03-10 11:42:33,progress,,,,,,,,
9704,29.0,,29.0,97,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,,,,
9708,25.0,,25.0,97,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,,,,
9707,17.0,,17.0,97,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,,,,
9703,3.0,,3.0,97,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,,,,
9419,4.0,,3.0,94,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,1.0,,,
9426,3.0,,3.0,94,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,,,,
9403,1.0,,1.0,94,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,,,,
9420,1.0,,1.0,94,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,,,,
9601,166.0,,161.0,96,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,5.0,,,
9604,8.0,,8.0,96,Pencacahan SKTH 2024,2026-03-10 11:42:33,progress,,,,,,,,
9471,95.0,96.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,,,,,,
9419,50.0,50.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,,,,,,
9408,41.0,,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,41.0,,,,,
9409,28.0,33.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,,,,,,
9420,33.0,33.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,,,,,,
9427,29.0,,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,29.0,,,,,
9403,16.0,16.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,,,,,,
9426,10.0,10.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,,,,,,
9428,5.0,5.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,,,,,,
9501,203.0,202.0,0.0,95,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:33,progress,,,,,,,,
9502,58.0,,0.0,95,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:33,progress,,,58.0,,,,,
