kd_kab,total,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Pusat,assigned,have-not-assigned
9705,1.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,1.0,,,,,,,,
9708,1.0,1.0,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,,,,,,,,,
9471,27.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,27.0,,,,,,,,
9403,12.0,6.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,6.0,,,,,,,,
9426,7.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,7.0,,,,,,,,
9409,5.0,3.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,2.0,,,,,,,,
9408,4.0,2.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,2.0,,,,,,,,
9420,2.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,2.0,,,,,,,,
9419,1.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,1.0,,,,,,,,
9601,48.0,24.0,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,24.0,,,,,,,,
9604,2.0,2.0,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,,,,,,,,,
9501,32.0,11.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,21.0,,,,,,,,
9502,6.0,2.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,4.0,,,,,,,,
9504,2.0,1.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,1.0,,,,,,,,
9408,1.0,1.0,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-03-11 08:14:41,progress,,,,,,,,,
9408,74.0,74.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-11 08:14:41,progress,,,,,,,,,
9420,17.0,17.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-11 08:14:41,progress,,,,,,,,,
9419,10.0,10.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-11 08:14:41,progress,,,,,,,,,
9409,6.0,6.0,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-11 08:14:41,progress,,,,,,,,,
9604,8.0,8.0,96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-11 08:14:41,progress,,,,,,,,,
