kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,EDITED BY Admin Kabupaten,prov_id,name,time_stamp,type,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN KABUPATEN,COMPLETED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,DRAFT,SUBMITTED RESPONDENT,APPROVED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9471,1.0,,1.0,,94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9601,1.0,,,,96,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR KOMODITAS 2024 (SKIM),2026-02-20 09:26:43,progress,,,,,,,,,,,1.0,,,
9471,1.0,,,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR KOMODITAS 2024 (SKIM),2026-02-20 09:26:43,progress,,,,,,,,,,,1.0,,,
9702,4.0,,,,97,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,4.0,,,,,,,,,,,,
9501,5.0,,,,95,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,,,,,,,,,,5.0,,,
9502,3.0,,1.0,,95,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,,,,,,,,,,2.0,,,
9471,6.0,,,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,,,,,,,,,,6.0,,,
9403,5.0,,,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,,,,,,,,,,5.0,,,
9409,4.0,,,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,,,,,,,,,,4.0,,,
9408,1.0,,,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,,,,,,,,,,1.0,,,
9420,1.0,,1.0,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9601,6.0,,,,96,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,2.0,,,,,,,,,4.0,,,
9604,3.0,,1.0,,96,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-20 09:26:43,progress,,2.0,,,,,,,,,,,,
9702,9.0,,,,97,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,9.0,,,,,,,,,
9704,4.0,,,,97,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,4.0,,,,,,,,,
9707,4.0,,,,97,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,4.0,,,,,,,,,
9701,2.0,,,,97,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,2.0,,,,,,,,,
9703,2.0,,,,97,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,2.0,,,,,,,,,
9708,2.0,,,,97,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,,,,,,2.0,,,,
